,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
24,Missouri***,511821,4434377,0.115421174158174,180,808,0.222772277227723,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,35.1685452531256,16.0099690100027
25,Montana,102649,735059,0.139647293618607,53,196,0.270408163265306,52.0,0.981132075471698,1.0,0.018867924528302,1.0,,,,,5.0,,,,,,22.0,,,25.0,51.6322613956298,22.6119131576035
26,Nebraska,149306,1320148,0.113097925384124,15,181,0.082872928176796,,0.0,,0.0,,,,,,,,,,,,,,,,10.0464817221009,14.1778309968382
27,Nevada,233596,1892386,0.123439932445072,104,471,0.220806794055202,,0.0,,0.0,3.0,,,2.0,,,7.0,,,20.0,,,28.0,,47.0,44.5213102964092,22.1245606737441
28,New Hampshire,122646,1016155,0.120696153637978,42,158,0.265822784810127,41.0,0.976190476190476,1.0,0.023809523809524,,,,,,,,,,,,,,,,34.2448999559708,12.9825217205423
29,New Jersey,497130,6615934,0.075141317915203,80,596,0.134228187919463,79.0,0.9875,1.0,0.0125,2.0,,,4.0,,,11.0,,,11.0,,,18.0,,34.0,16.0923702049766,8.43302057068669
30,New Mexico,178400,1465336,0.121746821206877,96,401,0.239401496259352,89.0,0.927083333333333,7.0,0.072916666666667,6.0,,,4.0,,,10.0,,,20.0,,,18.0,,38.0,53.8116591928251,23.6997022384952
31,New York,1041376,14857620,0.070090364405605,205,1396,0.146848137535817,197.0,0.960975609756098,8.0,0.039024390243902,3.0,,,3.0,,,12.0,,,51.0,,,36.0,,100.0,19.6854930399779,8.62028782931164
32,North Carolina,734260,6773333,0.108404532893924,229,1077,0.212627669452182,223.0,0.973799126637555,6.0,0.026200873362445,6.0,,,11.0,,,35.0,,,36.0,,,43.0,,98.0,31.1878626099747,14.0418902040098
33,North Dakota**,55232,491391,0.112399290992306,27,95,0.28421052631579,26.0,0.962962962962963,1.0,0.037037037037037,4.0,,,6.0,,,3.0,,,3.0,,,5.0,,5.0,48.8847045191193,15.5906446960856
34,Ohio,953338,8703442,0.10953574459392,275,1295,0.212355212355212,271.0,0.985454545454546,4.0,0.014545454545454,8.0,,,11.0,,,44.0,,,51.0,,,65.0,,96.0,28.8460126418962,13.1611137089257
35,Oklahoma,325423,2694837,0.120757953078424,112,531,0.210922787193974,,0.0,,0.0,0.0,,,8.0,,,12.0,,,23.0,,,19.0,,50.0,34.4167437458324,17.6836973192528
36,Oregon,348422,2881297,0.120925402691913,157,594,0.264309764309764,155.0,0.987261146496815,2.0,0.012738853503185,4.0,,,5.0,,,17.0,,,25.0,,,30.0,,74.0,45.0603004402707,17.2531214528944
37,Pennsylvania,1044143,9636871,0.108348757599848,324,1441,0.224843858431645,320.0,0.987654320987654,4.0,0.012345679012346,9.0,,,18.0,,,41.0,,,55.0,,,72.0,,129.0,31.0302324490036,12.999364113469
38,Rhode Island,80703,820384,0.098372225689433,16,96,0.166666666666667,,0.0,,0.0,,,,,,,,,,,,,,,,19.8257809499027,10.8154731566716
39,South Carolina,396961,3316277,0.119700797008211,123,530,0.232075471698113,116.0,0.943089430894309,7.0,0.056910569105691,2.0,,,8.0,,,16.0,,,27.0,,,28.0,,42.0,30.9854116651258,13.9416219415781
40,South Dakota,75167,597885,0.125721501626567,21,102,0.205882352941176,,0.0,,0.0,,,,,,,,,,,,,,,,27.937791850147,15.4959270581843
41,Tennessee,510068,4669784,0.109227321863281,182,844,0.21563981042654,178.0,0.978021978021978,4.0,0.021978021978022,7.0,,,12.0,,,16.0,,,34.0,,,37.0,,76.0,35.6815169742074,15.9145480124124
42,Texas,1613252,17190551,0.093845275814603,434,2433,0.178380600082203,427.0,0.983870967741936,7.0,0.016129032258064,,28.0,,,46.0,,,60.0,,,90.0,,,210.0,,26.902182672019,12.8327767220749
43,Utah,155573,1821224,0.085422221538921,68,378,0.17989417989418,67.0,0.985294117647059,1.0,0.014705882352941,5.0,,,5.0,,,5.0,,,16.0,,,16.0,,21.0,43.7093840190779,18.6113417516635
44,Vermont,55351,489141,0.11315960019708,19,89,0.213483146067416,18.0,0.947368421052632,1.0,0.052631578947368,0.0,,,1.0,,,1.0,,,5.0,,,4.0,,8.0,34.3263897671226,16.1368404066484
45,Virginia,757595,5779184,0.131090306174713,178,880,0.202272727272727,173.0,0.971910112359551,5.0,0.028089887640449,3.0,,,10.0,,,15.0,,,33.0,,,38.0,,79.0,23.4954032167583,13.9796387159523
46,Washington,622263,4888868,0.127281612021433,229,865,0.264739884393064,223.0,0.973799126637555,6.0,0.026200873362445,6.0,,,11.0,,,35.0,,,36.0,,,43.0,,98.0,36.801159638288,14.9064654450084
47,West Virginia,171036,1423318,0.120167102502744,67,300,0.223333333333333,67.0,1.0,0.0,0.0,3.0,,,2.0,,,8.0,,,7.0,,,14.0,,33.0,39.1730395940036,18.606032826472
48,Wisconsin,450802,4277566,0.105387503080023,128,729,0.175582990397805,,0.0,,0.0,4.0,,,7.0,,,19.0,,,29.0,,,27.0,,42.0,28.3938403112675,15.7051754432727
49,Wyoming,51494,393326,0.130919390022526,27,101,0.267326732673267,,0.0,,0.0,,,,,,,,,,,,,,,,52.4332931992077,21.6480610358305
