"","country","points","price","province","variety"
"22724","US",90,80,"Washington","Red Blend"
"93235","US",94,75,"California","Cabernet Sauvignon"
"99535","Chile",86,9,"Maule Valley","Sauvignon Blanc"
"25368","US",87,12,"California","Zinfandel"
"138827","Italy",90,42,"Northeastern Italy","White Blend"
"142068","US",84,14,"California","Syrah"
"128206","Italy",93,66,"Piedmont","Nebbiolo"
"150254","New Zealand",85,18,"Nelson","Sauvignon Blanc"
"51590","New Zealand",83,10,"Marlborough","Sauvignon Blanc"
"41567","US",85,22,"California","Claret"
"120760","Italy",92,145,"Veneto","Corvina, Rondinella, Molinara"
"36363","US",92,20,"California","Red Blend"
"90402","US",90,16,"California","Sauvignon Blanc"
"41512","Italy",90,40,"Tuscany","Sangiovese"
"74840","France",86,NA,"Burgundy","Chardonnay"
"11779","New Zealand",88,13,"Marlborough","Sauvignon Blanc"
"90241","US",87,22,"California","Sangiovese"
"31506","Spain",91,22,"Galicia","Albariño"
"89407","Italy",87,24,"Northeastern Italy","Silvaner"
"131656","US",92,36,"Washington","Chardonnay"
"110734","Italy",90,30,"Central Italy","Verdicchio"
"119373","US",82,14,"California","Rosé"
"99398","US",92,65,"California","Pinot Noir"
"70881","US",83,16,"California","Cabernet Franc"
"28256","US",90,25,"California","Pinot Gris"
"48534","US",91,65,"California","Cabernet Sauvignon"
"47486","US",88,38,"California","Cabernet Sauvignon"
"65071","Argentina",92,22,"Mendoza Province","Malbec"
"17964","Spain",86,10,"Levante","Monastrell-Syrah"
"48637","US",87,32,"Virginia","Merlot"
"47564","France",89,12,"Southwest France","Malbec"
"9586","US",86,21,"California","Chardonnay"
"148220","US",89,40,"California","Chardonnay"
"139853","Chile",82,13,"Colchagua Valley","Cabernet Sauvignon"
"121486","Italy",90,25,"Piedmont","Barbera"
"143659","Italy",87,19,"Tuscany","Red Blend"
"77384","US",92,38,"California","Pinot Noir"
"80676","France",90,NA,"Burgundy","Chardonnay"
"94626","US",81,22,"New Mexico","Red Blend"
"978","Israel",90,55,"Judean Hills","Cabernet Sauvignon"
"37506","US",92,50,"California","Meritage"
"18151","Spain",86,15,"Catalonia","Sparkling Blend"
"116471","New Zealand",82,14,"Hawke's Bay","Sauvignon Blanc"
"52690","US",85,48,"California","Pinot Noir"
"117545","France",86,20,"Burgundy","Chardonnay"
"135635","Italy",92,NA,"Tuscany","Sangiovese Grosso"
"150165","Italy",89,18,"Tuscany","Sangiovese"
"28612","US",95,140,"Washington","Cabernet Sauvignon"
"138321","South Africa",83,12,"Coastal Region","Shiraz"
"70614","Italy",91,NA,"Lombardy","Sparkling Blend"
"105899","Chile",83,9,"Colchagua Valley","Chardonnay"
"111188","US",88,12,"California","Red Blend"
"130774","France",94,85,"Champagne","Champagne Blend"
"36784","US",87,55,"California","Port"
"66312","US",92,30,"California","Sauvignon Blanc"
"81763","US",91,48,"California","Chardonnay"
"56833","Australia",80,13,"Victoria","Merlot"
"121212","US",82,12,"California","Cabernet Sauvignon"
"138855","US",81,15,"New York","Pinot Noir"
"118695","US",84,60,"California","Red Blend"
"89940","Italy",86,10,"Northeastern Italy","Red Blend"
"73915","France",90,139,"Champagne","Champagne Blend"
"31133","France",86,25,"Bordeaux","Bordeaux-style Red Blend"
"22583","Spain",88,25,"Northern Spain","Tinto Fino"
"143409","US",82,60,"California","Cabernet Blend"
"100584","US",83,20,"California","Chardonnay"
"88316","Argentina",85,15,"Mendoza Province","Red Blend"
"37902","Italy",91,30,"Northeastern Italy","Ribolla Gialla"
"103140","US",93,39,"California","Chardonnay"
"56579","Australia",83,17,"New South Wales","Sémillon"
"35550","France",94,85,"Bordeaux","Bordeaux-style Red Blend"
"142513","Spain",88,70,"Northern Spain","Red Blend"
"132151","Argentina",87,14,"Mendoza Province","Merlot"
"147941","US",85,13,"Oregon","Pinot Gris"
"100402","Spain",90,45,"Northern Spain","Tempranillo"
"144834","US",90,13,"California","Sauvignon Blanc"
"3405","Spain",87,24,"Catalonia","Syrah"
"65547","France",90,65,"Loire Valley","Pinot Noir"
"129181","Chile",85,14,"Aconcagua Valley","Cabernet Sauvignon"
"108895","US",90,38,"California","Pinot Noir"
"94552","US",86,18,"California","Sauvignon Blanc"
"59543","Australia",88,30,"Victoria","Sauvignon"
"81538","Italy",86,12,"Southern Italy","Primitivo"
"50821","US",82,15,"Washington","Riesling"
"73043","France",87,33,"Burgundy","Chardonnay"
"137502","US",87,55,"Oregon","Pinot Noir"
"39904","Portugal",89,45,"Alentejano","Portuguese Red"
"11657","US",85,26,"California","Pinot Noir"
"32815","US",90,36,"Washington","Bordeaux-style Red Blend"
"129676","Italy",91,66,"Piedmont","Nebbiolo"
"122486","US",81,10,"Washington","Cabernet Sauvignon"
"92929","Austria",96,103,"Burgenland","Scheurebe"
"140560","Spain",84,40,"Northern Spain","Red Blend"
"32910","Italy",85,17,"Central Italy","Pinot Grigio"
"15233","Italy",88,NA,"Veneto","Corvina, Rondinella, Molinara"
"19360","Australia",98,97,"Victoria","Tokay"
"132278","Italy",91,32,"Tuscany","Red Blend"
"12546","France",92,40,"Burgundy","Chardonnay"
"83858","US",83,15,"California","Zinfandel"
"40926","Italy",91,65,"Tuscany","Sangiovese Grosso"
"31794","US",88,45,"New York","Riesling"
"19356","Australia",100,300,"Victoria","Muscat"
"14289","US",81,25,"California","Merlot"
"131024","US",82,14,"California","Chardonnay"
"46991","US",87,30,"Oregon","Pinot Noir"
"126488","Austria",86,13,"Kamptal","Grüner Veltliner"
"41017","Australia",87,18,"South Australia","Red Blend"
"93847","US",93,35,"Washington","Bordeaux-style Red Blend"
"64542","US",84,25,"California","Petite Sirah"
"33359","US",94,70,"Oregon","Pinot Noir"
"9976","US",84,18,"California","Chardonnay"
"6675","US",88,25,"California","Zinfandel"
"137478","France",90,50,"Rhône Valley","Rhône-style White Blend"
"34073","France",90,NA,"Burgundy","Pinot Noir"
"98944","US",95,90,"California","Bordeaux-style Red Blend"
"61912","Italy",86,17,"Central Italy","Sangiovese"
"27974","France",90,200,"Champagne","Champagne Blend"
"46325","France",87,NA,"Bordeaux","Bordeaux-style White Blend"
"45156","Italy",85,17,"Veneto","Glera"
"100935","Spain",87,50,"Northern Spain","Tempranillo"
"27645","Germany",89,28,"Rheingau","Riesling"
"69575","France",89,24,"Loire Valley","Sauvignon Blanc"
"32207","US",87,26,"New York","Cabernet Sauvignon"
"41298","France",87,24,"Bordeaux","Bordeaux-style Red Blend"
"33340","US",94,85,"Oregon","Pinot Noir"
"13361","Portugal",84,30,"Duriense","Bastardo"
"77317","Germany",90,29,"Mosel","Riesling"
"13234","Australia",89,108,"South Australia","Cabernet Sauvignon"
"40214","Portugal",90,27,"Douro","Portuguese Red"
"142527","Germany",87,30,"Mosel-Saar-Ruwer","Riesling"
"135052","US",84,34,"California","Cabernet Sauvignon"
"97290","Spain",83,18,"Northern Spain","Tinta de Toro"
"126617","US",87,65,"California","Merlot"
"150588","Canada",90,NA,"Ontario","Riesling"
"9665","Portugal",83,8,"Vinho Verde","Rosé"
"75680","Chile",89,19,"Colchagua Valley","Cabernet Sauvignon-Carmenère"
"100911","Italy",90,NA,"Sicily & Sardinia","Red Blend"
"117954","US",90,28,"Washington","Syrah"
"9154","Spain",84,10,"Central Spain","Cabernet Sauvignon"
"24931","France",89,25,"Southwest France","Malbec"
"142331","Australia",87,24,"South Australia","Grenache"
"118765","Chile",83,NA,"Maule Valley","Carmenère-Cabernet Sauvignon"
"107447","Italy",84,NA,"Lombardy","Sparkling Blend"
"88697","US",85,15,"California","Merlot"
"1643","US",90,54,"California","Red Blend"
"33189","US",86,38,"California","Pinot Noir"
"83472","US",92,39,"California","Chardonnay"
"58169","US",89,17,"Washington","White Blend"
"12167","Italy",87,20,"Northeastern Italy","Sauvignon"
"47069","Italy",90,28,"Veneto","Corvina, Rondinella, Molinara"
"103369","Spain",87,14,"Northern Spain","Verdejo"
"124728","France",88,NA,"Burgundy","Chardonnay"
"73465","Spain",83,23,"Northern Spain","Tempranillo"
"54728","US",90,20,"New York","Merlot"
"117958","US",90,45,"California","Pinot Noir"
"10119","Italy",86,18,"Central Italy","Cesanese d'Affile"
"15342","US",90,20,"Washington","Viognier"
"105033","US",84,9,"California","Sauvignon Blanc"
"66209","US",84,18,"California","Cabernet Sauvignon"
"17557","Italy",88,26,"Veneto","Garganega"
"68724","South Africa",83,9,"Western Cape","Shiraz"
"146355","Chile",89,12,"Maule Valley","Carmenère"
"93010","US",89,45,"Washington","Bordeaux-style Red Blend"
"20803","US",82,13,"California","Chardonnay"
"112214","US",90,25,"California","Viognier"
"77164","US",87,27,"California","Zinfandel"
"23489","Argentina",85,15,"Mendoza Province","Malbec"
"139680","Hungary",85,20,"Tokaj","Furmint"
"117499","Australia",86,37,"South Australia","Cabernet Sauvignon"
"22186","US",94,36,"California","Syrah"
"33296","Spain",84,10,"Central Spain","Tempranillo"
"32543","Italy",82,14,"Veneto","Glera"
"18146","Germany",87,42,"Rheinhessen","Riesling"
"123161","Germany",89,29,"Mosel-Saar-Ruwer","Riesling"
"4573","US",86,23,"North Carolina","Sangiovese"
"109593","US",91,48,"California","Pinot Noir"
"12716","France",93,33,"Loire Valley","Sauvignon Blanc"
"102499","US",85,32,"California","Port"
"50650","US",88,46,"California","Chardonnay"
"20484","Italy",89,40,"Veneto","Corvina, Rondinella, Molinara"
"107768","US",90,12,"Washington","Chardonnay"
"150610","South Africa",90,15,"Groenekloof","Sauvignon Blanc"
"94933","US",95,85,"California","Cabernet Sauvignon"
"78314","Italy",95,120,"Tuscany","Merlot"
"78785","Italy",90,15,"Northeastern Italy","Pinot Grigio"
"119565","US",84,26,"California","Carignan"
"76779","US",93,85,"California","Syrah"
"28946","Italy",89,32,"Veneto","Red Blend"
"14818","Austria",93,35,"Burgenland","Austrian Red Blend"
"52858","Israel",84,24,"Upper Galilee","Merlot"
"34791","US",93,75,"Oregon","Chardonnay"
"141884","Chile",85,28,"Casablanca Valley","Syrah"
"12620","US",84,10,"California","Chardonnay"
"33805","Spain",85,24,"Catalonia","Sparkling Blend"
"96319","US",91,38,"Washington","Syrah"
"34121","US",88,18,"California","Sauvignon Blanc"
"48576","Italy",91,40,"Sicily & Sardinia","Red Blend"
"135437","Argentina",88,60,"Other","Red Blend"
"41872","US",90,45,"California","Petite Sirah"
"24879","Spain",89,50,"Spanish Islands","Red Blend"
"54089","Italy",91,80,"Sicily & Sardinia","Red Blend"
"145989","Italy",89,11,"Tuscany","Sangiovese"
"48684","South Africa",87,12,"Coastal Region","Cabernet Sauvignon"
"13571","France",89,NA,"Burgundy","Pinot Noir"
"115282","Italy",87,28,"Tuscany","Sangiovese Grosso"
"115273","Spain",87,11,"Levante","Monastrell"
"110605","France",91,NA,"Bordeaux","Bordeaux-style Red Blend"
"63833","France",84,9,"Bordeaux","Bordeaux-style Red Blend"
"129427","US",83,20,"California","Cabernet Sauvignon"
"14962","Australia",89,22,"Victoria","Pinot Noir"
"40569","Italy",93,85,"Veneto","Red Blend"
"63459","Italy",86,NA,"Tuscany","Sangiovese"
"43905","France",85,18,"Bordeaux","Sauvignon Blanc"
"88555","US",88,20,"Oregon","Chardonnay"
"52934","US",87,25,"Virginia","Viognier"
"23808","US",85,12,"California","Pinot Noir"
"2433","France",97,145,"Bordeaux","Bordeaux-style Red Blend"
"132618","Portugal",87,NA,"Lisboa","Cabernet Sauvignon"
