"school" "textbook" "mathscore"
"78" "Eastern" "BookA" 53.0802480304838
"79" "Eastern" "BookA" 57.5837790118159
"80" "Eastern" "BookA" 54.110157280944
"81" "Eastern" "BookA" 55.0212901933164
"82" "Eastern" "BookA" 48.6297022457321
"83" "Eastern" "BookA" 53.9894483083768
"84" "Eastern" "BookA" 60.8223293987058
"85" "Eastern" "BookA" 54.8831029573806
"86" "Eastern" "BookA" 59.4857837495039
"87" "Eastern" "BookA" 54.116377725342
"88" "Eastern" "BookA" 60.5685453877914
"89" "Eastern" "BookA" 52.2905557017502
"90" "Eastern" "BookA" 50.1830083405937
"91" "Eastern" "BookA" 56.8822419979098
"92" "Eastern" "BookA" 50.0766310164326
"93" "Eastern" "BookA" 59.4877970113675
"94" "Eastern" "BookA" 55.6463126674268
"95" "Eastern" "BookA" 60.1685149028205
"96" "Eastern" "BookA" 53.2885536318615
"97" "Eastern" "BookB" 57.2614062826784
"98" "Eastern" "BookB" 51.5263102898652
"99" "Eastern" "BookB" 53.8049320447356
"100" "Eastern" "BookB" 49.9635052020487
"101" "Eastern" "BookB" 64.6335941646509
"102" "Eastern" "BookB" 55.2571518224132
"103" "Eastern" "BookB" 64.0026188078514
"104" "Eastern" "BookB" 52.24271119299
"105" "Eastern" "BookB" 55.5352944725233
"106" "Eastern" "BookB" 58.9456202212191
"107" "Eastern" "BookB" 53.7787234124223
"108" "Eastern" "BookB" 56.920899820967
"109" "Eastern" "BookB" 49.1538224299214
"110" "Eastern" "BookB" 62.5913621314508
"111" "Eastern" "BookB" 55.364905885739
"112" "Eastern" "BookB" 52.3616248565192
"113" "Eastern" "BookB" 52.3773721027972
"114" "Eastern" "BookB" 58.7345037409653
"115" "Eastern" "BookB" 49.0879301421557
"116" "Eastern" "BookB" 48.2264575810733
"117" "Eastern" "BookB" 53.9385724548127
"118" "Eastern" "BookB" 54.5525925266102
"119" "Eastern" "BookB" 56.2851625646618
"120" "Eastern" "BookB" 61.0214341833835
"121" "Eastern" "BookC" 54.129844615903
"122" "Eastern" "BookC" 58.4510839552665
"123" "Eastern" "BookC" 57.0669229088299
"124" "Eastern" "BookC" 47.8476047633064
"125" "Eastern" "BookC" 48.5016544905103
"126" "Eastern" "BookC" 62.0167493386111
"127" "Eastern" "BookC" 53.9032489062281
"128" "Eastern" "BookC" 65.6624554591022
"129" "Eastern" "BookC" 45.8326504516963
"130" "Eastern" "BookC" 54.4474515967607
"131" "Eastern" "BookC" 58.8285517638415
"132" "Eastern" "BookC" 56.617523022135
"133" "Eastern" "BookC" 51.3231054407376
"134" "Eastern" "BookC" 60.7285857183602
"135" "Eastern" "BookC" 53.608812808464
"136" "Eastern" "BookC" 60.2842066176081
"137" "Eastern" "BookC" 56.8375721860188
"138" "Eastern" "BookC" 59.237573073772
"139" "Eastern" "BookC" 48.6858976700693
"140" "Eastern" "BookC" 57.6411833389832
"141" "Eastern" "BookC" 60.4470341112676
"142" "Eastern" "BookC" 51.5026081801962
"143" "Eastern" "BookC" 62.1051308419929
"144" "Eastern" "BookC" 62.1951083924912
"145" "Northern" "BookA" 43.5234435754357
"146" "Northern" "BookA" 45.5147006660382
"147" "Northern" "BookA" 40.5761194182198
"148" "Northern" "BookA" 50.1374895246042
"149" "Northern" "BookA" 45.4629167368701
"150" "Northern" "BookA" 41.7621914858209
"151" "Northern" "BookA" 51.2617001954755
"152" "Northern" "BookA" 53.2115713257513
"153" "Northern" "BookA" 48.2653194614627
"154" "Northern" "BookA" 47.4236838422573
"155" "Northern" "BookA" 51.9908446166506
"156" "Northern" "BookA" 54.7677860682606
"157" "Northern" "BookA" 51.3008946219205
"158" "Northern" "BookA" 39.749328115842
"159" "Northern" "BookA" 51.4398535878786
"160" "Northern" "BookA" 51.8097270958904
"161" "Northern" "BookA" 41.5662948804981
"162" "Northern" "BookA" 56.2358490112918
"163" "Northern" "BookA" 41.1490355897806
"164" "Northern" "BookA" 51.11417932726
"165" "Northern" "BookA" 47.1973978345868
"166" "Northern" "BookA" 47.4593521889807
"167" "Northern" "BookA" 45.30583455908
"168" "Northern" "BookA" 58.178246921199
"169" "Northern" "BookB" 46.7359155566654
"170" "Northern" "BookB" 54.1960680973797
"171" "Northern" "BookB" 46.9420235407037
"172" "Northern" "BookB" 48.1414151431848
"173" "Northern" "BookB" 47.4238302085137
"174" "Northern" "BookB" 48.2911569486186
"175" "Northern" "BookB" 53.4195939028933
"176" "Northern" "BookB" 53.9917123345815
"177" "Northern" "BookB" 46.0009792887657
"178" "Northern" "BookB" 51.1481512244522
"179" "Northern" "BookB" 58.4677396529647
"180" "Northern" "BookB" 46.1576451515433
"181" "Northern" "BookB" 42.2842363871435
"182" "Northern" "BookB" 43.3969954673298
"183" "Northern" "BookB" 46.6208924771455
"184" "Northern" "BookB" 48.1649728702458
"185" "Northern" "BookB" 47.4306390952387
"186" "Northern" "BookB" 45.2037301846959
"187" "Northern" "BookB" 49.3916816380702
"188" "Northern" "BookB" 53.3296857555936
"189" "Northern" "BookB" 56.1935990950772
"190" "Northern" "BookB" 55.9197039127104
"191" "Northern" "BookB" 57.4918074564854
"192" "Northern" "BookB" 48.5544782232283
"193" "Northern" "BookC" 59.6184360923594
"194" "Northern" "BookC" 52.5925622527727
"195" "Northern" "BookC" 52.3829547834352
"196" "Northern" "BookC" 51.5130187327299
"197" "Northern" "BookC" 54.1061635493436
"198" "Northern" "BookC" 51.962896301494
"199" "Northern" "BookC" 42.7977453805746
"200" "Northern" "BookC" 45.655512582315
"201" "Northern" "BookC" 35.0677196535812
"202" "Northern" "BookC" 49.7472635903311
"203" "Northern" "BookC" 56.4975643817667
"204" "Northern" "BookC" 43.2429946135196
"205" "Northern" "BookC" 45.2510054715446
"206" "Northern" "BookC" 58.4305090135278
"207" "Northern" "BookC" 51.2214776971226
"208" "Northern" "BookC" 43.0596016906995
"209" "Northern" "BookC" 54.4355961309791
"210" "Northern" "BookC" 50.1408625919205
"211" "Northern" "BookC" 51.3954374225163
"212" "Northern" "BookC" 49.6221603862645
"213" "Northern" "BookC" 50.615202233369
"214" "Northern" "BookC" 44.8429482952565
"215" "Northern" "BookC" 50.4485162413273
"216" "Northern" "BookC" 56.6098933465898
