Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2010-11,NBA,Minnesota Timberwolves,17,65,0.207,5,-5.97,96.5,4.4,104.2,-3.1,111.1,3.8,,K. Rambis (17-65),K. Love (11.4)
2009-10,NBA,Minnesota Timberwolves,15,67,0.183,5,-9.06,96.1,3.4,101.7,-5.9,111.6,4,,K. Rambis (15-67),K. Love (4.9)
2008-09,NBA,Minnesota Timberwolves,24,58,0.293,4,-4.74,91.6,-0.1,106.1,-2.2,111.4,3.1,,R. Wittman (4-15) K. McHale (20-43),K. Love (5.3)
2007-08,NBA,Minnesota Timberwolves,22,60,0.268,4,-6.26,91.9,-0.5,103.8,-3.7,111.2,3.7,,R. Wittman (22-60),A. Jefferson (7.7)
2006-07,NBA,Minnesota Timberwolves,32,50,0.39,4,-3.16,91,-0.9,103.9,-2.6,107.9,1.4,,D. Casey (20-20) R. Wittman (12-30),K. Garnett (10.7)
2005-06,NBA,Minnesota Timberwolves,33,49,0.402,4,-1.75,88.8,-1.7,102.4,-3.8,104.5,-1.7,,D. Casey (33-49),K. Garnett (14.9)
2004-05,NBA,Minnesota Timberwolves,44,38,0.537,3,1.73,89.1,-1.8,108.2,2.1,106.6,0.5,,F. Saunders (25-26) K. McHale (19-12),K. Garnett (16.1)
2003-04,NBA,Minnesota Timberwolves*,58,24,0.707,1,5.86,89,-1.1,105.9,3,99.7,-3.2,Lost W. Conf. Finals,F. Saunders (58-24),K. Garnett (18.3)
2002-03,NBA,Minnesota Timberwolves*,51,31,0.622,3,2.46,91.9,0.9,106.1,2.5,103.8,0.2,Lost W. Conf. 1st Rnd.,F. Saunders (51-31),K. Garnett (15.6)
2001-02,NBA,Minnesota Timberwolves*,50,32,0.61,3,3.58,90.5,-0.2,109,4.5,105.3,0.8,Lost W. Conf. 1st Rnd.,F. Saunders (50-32),K. Garnett (12.8)
2000-01,NBA,Minnesota Timberwolves*,47,35,0.573,4,1.81,91.8,0.5,105.2,2.2,103.7,0.7,Lost W. Conf. 1st Rnd.,F. Saunders (47-35),K. Garnett (11.8)
2016-17,NBA,New Orleans Pelicans,34,48,0.415,4,-1.69,98,1.6,105.2,-3.6,107.4,-1.4,,A. Gentry (34-48),A. Davis (11.0)
2015-16,NBA,New Orleans Pelicans,30,52,0.366,5,-3.56,96.8,1,105.6,-0.8,109.5,3.1,,A. Gentry (30-52),A. Davis (7.2)
2014-15,NBA,New Orleans Pelicans*,45,37,0.549,5,1.13,91.4,-2.5,108.2,2.6,107.3,1.7,Lost W. Conf. 1st Rnd.,M. Williams (45-37),A. Davis (14.0)
2013-14,NBA,New Orleans Pelicans,34,48,0.415,5,-1.98,92.2,-1.7,107.2,0.5,110.1,3.4,,M. Williams (34-48),A. Davis (10.4)
2012-13,NBA,New Orleans Hornets,27,55,0.329,5,-3.12,88.5,-3.5,105.7,-0.2,110.1,4.2,,M. Williams (27-55),R. Anderson (6.5)
2011-12,NBA,New Orleans Hornets,21,45,0.318,5,-3.11,88.3,-3,100.9,-3.7,105.1,0.5,,M. Williams (21-45),J. Jack (3.8)
2010-11,NBA,New Orleans Hornets*,46,36,0.561,3,1.28,88.7,-3.4,106.2,-1.1,105.2,-2.1,Lost W. Conf. 1st Rnd.,M. Williams (46-36),C. Paul (13.9)
2009-10,NBA,New Orleans Hornets,37,45,0.451,5,-2.27,92.6,-0.1,107.4,-0.2,110.1,2.5,,B. Scott (3-6) J. Bower (34-39),D. West (7.5)
2008-09,NBA,New Orleans Hornets*,49,33,0.598,4,1.41,87.8,-3.9,108.7,0.4,107,-1.3,Lost W. Conf. 1st Rnd.,B. Scott (49-33),C. Paul (18.3)
2007-08,NBA,New Orleans Hornets*,56,26,0.683,1,5.46,89.9,-2.5,111.5,4,105.7,-1.8,Lost W. Conf. Semis,B. Scott (56-26),C. Paul (17.8)
2006-07,NBA,New Orleans/Oklahoma City Hornets,39,43,0.476,4,-1.19,90.2,-1.7,104.8,-1.7,106.5,0,,B. Scott (39-43),C. Paul (8.8)
2005-06,NBA,New Orleans/Oklahoma City Hornets,38,44,0.463,4,-2.51,89,-1.5,103.7,-2.5,106.8,0.6,,B. Scott (38-44),C. Paul (10.4)
2004-05,NBA,New Orleans Hornets,18,64,0.22,5,-6.3,87.6,-3.3,99.7,-6.4,107.7,1.6,,B. Scott (18-64),P. Brown (6.9)
2003-04,NBA,New Orleans Hornets*,41,41,0.5,3,-0.72,89.1,-1,102.3,-0.6,102.4,-0.5,Lost E. Conf. 1st Rnd.,T. Floyd (41-41),P. Brown (8.1)
2002-03,NBA,New Orleans Hornets*,47,35,0.573,3,1.52,89.4,-1.6,103.9,0.3,101.6,-2,Lost E. Conf. 1st Rnd.,P. Silas (47-35),P. Brown (10.2)
2016-17,NBA,New York Knicks,31,51,0.378,3,-3.87,96,-0.4,107.7,-1.1,111.5,2.7,,J. Hornacek (31-51),C. Anthony (4.7)
2015-16,NBA,New York Knicks,32,50,0.39,3,-2.74,93.4,-2.4,104.6,-1.8,107.6,1.2,,D. Fisher (23-31) K. Rambis (9-19),C. Anthony (6.4)
2014-15,NBA,New York Knicks,17,65,0.207,5,-9.5,91.2,-2.7,99.9,-5.7,110,4.4,,D. Fisher (17-65),C. Anthony (2.9)
2013-14,NBA,New York Knicks,37,45,0.451,3,-1.4,90.3,-3.6,108.3,1.6,109.1,2.4,,M. Woodson (37-45),C. Anthony (10.7)
2012-13,NBA,New York Knicks*,54,28,0.659,1,3.73,89.8,-2.2,111.1,5.2,106.3,0.4,Lost E. Conf. Semis,M. Woodson (54-28),C. Anthony (9.5)
2011-12,NBA,New York Knicks*,36,30,0.545,2,2.39,93.2,1.9,104.4,-0.2,101,-3.6,Lost E. Conf. 1st Rnd.,M. D'Antoni (18-24) M. Woodson (18-6),T. Chandler (9.5)
2010-11,NBA,New York Knicks*,42,40,0.512,2,0.48,95.6,3.5,110.9,3.6,110.1,2.8,Lost E. Conf. 1st Rnd.,M. D'Antoni (42-40),A. Stoudemire (8.0)
2009-10,NBA,New York Knicks,29,53,0.354,3,-4.01,94,1.3,107.6,0,111.6,4,,M. D'Antoni (29-53),D. Lee (10.3)
2008-09,NBA,New York Knicks,32,50,0.39,5,-2.33,96.7,5,108.1,-0.2,110.8,2.5,,M. D'Antoni (32-50),D. Lee (9.0)
2007-08,NBA,New York Knicks,23,59,0.28,5,-6.55,91.6,-0.8,104.7,-2.8,111.9,4.4,,I. Thomas (23-59),D. Lee (7.4)
2006-07,NBA,New York Knicks,33,49,0.402,4,-3.06,90.8,-1.1,105.7,-0.8,108.8,2.3,,I. Thomas (33-49),D. Lee (6.9)
2005-06,NBA,New York Knicks,23,59,0.28,5,-6.3,90.8,0.3,104,-2.2,111,4.8,,L. Brown (23-59),J. Crawford (4.5)
2004-05,NBA,New York Knicks,33,49,0.402,5,-2.72,90.7,-0.2,106.2,0.1,108.9,2.8,,L. Wilkens (17-22) H. Williams (16-27),S. Marbury (11.7)
2003-04,NBA,New York Knicks*,39,43,0.476,3,-1.97,89.5,-0.6,101.7,-1.2,103.3,0.4,Lost E. Conf. 1st Rnd.,D. Chaney (15-24) H. Williams (1-0) L. Wilkens (23-19),S. Marbury (5.5)
2002-03,NBA,New York Knicks,37,45,0.451,6,-1.61,90.7,-0.3,104.7,1.1,106.2,2.6,,D. Chaney (37-45),A. Houston (7.2)
2001-02,NBA,New York Knicks,30,52,0.366,7,-4.15,89.7,-1,101.5,-3,105.9,1.4,,J. Van Gundy (10-9) D. Chaney (20-43),K. Thomas (6.5)
2000-01,NBA,New York Knicks*,48,34,0.585,3,1.98,86.7,-4.6,101.2,-1.8,98.2,-4.8,Lost E. Conf. 1st Rnd.,J. Van Gundy (48-34),M. Camby (10.3)
2016-17,NBA,Oklahoma City Thunder*,47,35,0.573,2,1.14,97.8,1.4,108.3,-0.5,107.5,-1.3,Lost W. Conf. 1st Rnd.,B. Donovan (47-35),R. Westbrook (13.1)
2015-16,NBA,Oklahoma City Thunder*,55,27,0.671,1,7.09,96.7,0.9,113.1,6.7,105.6,-0.8,Lost W. Conf. Finals,B. Donovan (55-27),K. Durant (14.5)
2014-15,NBA,Oklahoma City Thunder,45,37,0.549,2,2.47,95.7,1.8,107.8,2.2,105.5,-0.1,,S. Brooks (45-37),R. Westbrook (10.6)
2013-14,NBA,Oklahoma City Thunder*,59,23,0.72,1,6.66,95.4,1.5,110.5,3.8,103.9,-2.8,Lost W. Conf. Finals,S. Brooks (59-23),K. Durant (19.2)
2012-13,NBA,Oklahoma City Thunder*,60,22,0.732,1,9.15,93.3,1.3,112.4,6.5,102.6,-3.3,Lost W. Conf. Semis,S. Brooks (60-22),K. Durant (18.9)
2011-12,NBA,Oklahoma City Thunder*,47,19,0.712,1,6.44,93,1.7,109.8,5.2,103.2,-1.4,Lost Finals,S. Brooks (47-19),K. Durant (12.2)
2010-11,NBA,Oklahoma City Thunder*,55,27,0.671,1,3.81,92.7,0.6,111.2,3.9,107.2,-0.1,Lost W. Conf. Finals,S. Brooks (55-27),K. Durant (12.0)
2009-10,NBA,Oklahoma City Thunder*,50,32,0.61,4,3.55,93.1,0.4,108.3,0.7,104.6,-3,Lost W. Conf. 1st Rnd.,S. Brooks (50-32),K. Durant (16.1)
2008-09,NBA,Oklahoma City Thunder,23,59,0.28,5,-6.04,93.6,1.9,102.9,-5.4,109.4,1.1,,P. Carlesimo (1-12) S. Brooks (22-47),K. Durant (7.9)
2007-08,NBA,Seattle SuperSonics,20,62,0.244,5,-8.04,96.3,3.9,100.5,-7,109.5,2,,P. Carlesimo (20-62),N. Collison (4.5)
2006-07,NBA,Seattle SuperSonics,31,51,0.378,5,-2.45,91.8,-0.1,107.2,0.7,110.3,3.8,,B. Hill (31-51),R. Lewis (7.6)
2005-06,NBA,Seattle SuperSonics,35,47,0.427,3,-2.88,91.6,1.1,111.1,4.9,114.4,8.2,,B. Weiss (13-17) B. Hill (22-30),R. Allen (9.5)
2004-05,NBA,Seattle SuperSonics*,52,30,0.634,1,2.59,87.9,-3,112.2,6.1,109.6,3.5,Lost W. Conf. Semis,N. McMillan (52-30),R. Allen (10.7)
2003-04,NBA,Seattle SuperSonics,37,45,0.451,5,0.02,89.9,-0.2,107.3,4.4,108,5.1,,N. McMillan (37-45),R. Allen (6.9)
2002-03,NBA,Seattle SuperSonics,40,42,0.488,5,0.37,88,-3,103.7,0.1,103.9,0.3,,N. McMillan (40-42),R. Lewis (7.8)
2001-02,NBA,Seattle SuperSonics*,45,37,0.549,4,3.24,89,-1.7,108.9,4.4,105.6,1.1,Lost W. Conf. 1st Rnd.,N. McMillan (45-37),G. Payton (12.6)
2000-01,NBA,Seattle SuperSonics,44,38,0.537,5,0.55,91.6,0.3,105.6,2.6,105.6,2.6,,P. Westphal (6-9) N. McMillan (38-29),G. Payton (10.8)
2016-17,NBA,Orlando Magic,29,53,0.354,5,-6.61,96.8,0.4,103.7,-5.1,110.5,1.7,,F. Vogel (29-53),E. Payton (4.4)
2015-16,NBA,Orlando Magic,35,47,0.427,5,-1.68,96,0.2,105.1,-1.3,106.8,0.4,,S. Skiles (35-47),E. Fournier (5.7)
2014-15,NBA,Orlando Magic,25,57,0.305,5,-5.87,93.8,-0.1,101.6,-4,107.7,2.1,,J. Vaughn (15-37) J. Borrego (10-20),N. Vucevic (7.0)
2013-14,NBA,Orlando Magic,23,59,0.28,5,-5.88,93.6,-0.3,101.7,-5,107.4,0.7,,J. Vaughn (23-59),A. Afflalo (5.3)
2012-13,NBA,Orlando Magic,20,62,0.244,5,-7.12,92.2,0.2,101.6,-4.3,109.1,3.2,,J. Vaughn (20-62),N. Vucevic (5.7)
2011-12,NBA,Orlando Magic*,37,29,0.561,3,0.46,89,-2.3,105,0.4,104.1,-0.5,Lost E. Conf. 1st Rnd.,S. Van Gundy (37-29),R. Anderson (8.9)
2010-11,NBA,Orlando Magic*,52,30,0.634,2,4.92,91.2,-0.9,107.9,0.6,102,-5.3,Lost E. Conf. 1st Rnd.,S. Van Gundy (52-30),D. Howard (14.4)
2009-10,NBA,Orlando Magic*,59,23,0.72,1,7.12,92,-0.7,111.4,3.8,103.3,-4.3,Lost E. Conf. Finals,S. Van Gundy (59-23),D. Howard (13.2)
2008-09,NBA,Orlando Magic*,59,23,0.72,1,6.48,92.3,0.6,109.2,0.9,101.9,-6.4,Lost Finals,S. Van Gundy (59-23),D. Howard (13.8)
2007-08,NBA,Orlando Magic*,52,30,0.634,1,4.79,93.4,1,111.3,3.8,105.5,-2,Lost E. Conf. Semis,S. Van Gundy (52-30),D. Howard (12.9)
2006-07,NBA,Orlando Magic*,40,42,0.488,3,0.35,89.9,-2,104.9,-1.6,104.1,-2.4,Lost E. Conf. 1st Rnd.,B. Hill (40-42),D. Howard (9.7)
2005-06,NBA,Orlando Magic,36,46,0.439,3,-1.26,88.3,-2.2,106.3,0.1,107.5,1.3,,B. Hill (36-46),D. Howard (8.6)
2004-05,NBA,Orlando Magic,36,46,0.439,3,-2.52,94.7,3.8,104.9,-1.2,107.3,1.2,,J. Davis (31-33) C. Jent (5-13),D. Howard (7.3)
2003-04,NBA,Orlando Magic,21,61,0.256,7,-7.25,90.8,0.7,102.7,-0.2,110.4,7.5,,D. Rivers (1-10) J. Davis (20-51),T. McGrady (8.4)
2002-03,NBA,Orlando Magic*,42,40,0.512,4,-0.39,93.1,2.1,105.2,1.6,105,1.4,Lost E. Conf. 1st Rnd.,D. Rivers (42-40),T. McGrady (16.1)
2001-02,NBA,Orlando Magic*,44,38,0.537,3,1.25,93.2,2.5,107,2.5,105.3,0.8,Lost E. Conf. 1st Rnd.,D. Rivers (44-38),T. McGrady (11.5)
2000-01,NBA,Orlando Magic*,43,39,0.524,4,0.39,93.2,1.9,103.2,0.2,102.1,-0.9,Lost E. Conf. 1st Rnd.,D. Rivers (43-39),T. McGrady (12.2)
2016-17,NBA,Philadelphia 76ers,28,54,0.341,4,-5.83,98.5,2.1,103.2,-5.6,108.9,0.1,,B. Brown (28-54),T. McConnell (3.8)
2015-16,NBA,Philadelphia 76ers,10,72,0.122,5,-9.92,97.9,2.1,98.8,-7.6,109.2,2.8,,B. Brown (10-72),N. Noel (3.0)
2014-15,NBA,Philadelphia 76ers,18,64,0.22,4,-9.04,95.7,1.8,95.5,-10.1,104.8,-0.8,,B. Brown (18-64),N. Noel (4.0)
2013-14,NBA,Philadelphia 76ers,19,63,0.232,5,-10.66,99.2,5.3,99.4,-7.3,109.9,3.2,,B. Brown (19-63),T. Young (3.5)
2012-13,NBA,Philadelphia 76ers,34,48,0.415,4,-3.51,91,-1,102,-3.9,105.7,-0.2,,D. Collins (34-48),T. Young (7.4)
2011-12,NBA,Philadelphia 76ers*,35,31,0.53,3,3.59,89.7,-1.6,103.9,-0.7,99.2,-5.4,Lost E. Conf. Semis,D. Collins (35-31),A. Iguodala (7.3)
2010-11,NBA,Philadelphia 76ers*,41,41,0.5,3,1.01,91.7,-0.4,106.6,-0.7,105,-2.3,Lost E. Conf. 1st Rnd.,D. Collins (41-41),E. Brand (9.4)
2009-10,NBA,Philadelphia 76ers,27,55,0.329,4,-3.93,91.6,-1.1,106.1,-1.5,110.3,2.7,,E. Jordan (27-55),A. Iguodala (6.7)
2008-09,NBA,Philadelphia 76ers*,41,41,0.5,2,0.16,90,-1.7,107.9,-0.4,107.8,-0.5,Lost E. Conf. 1st Rnd.,M. Cheeks (9-14) T. DiLeo (32-27),A. Iguodala (9.2)
2007-08,NBA,Philadelphia 76ers*,40,42,0.488,3,0.19,90.4,-2,106.4,-1.1,106,-1.5,Lost E. Conf. 1st Rnd.,M. Cheeks (40-42),A. Iguodala (9.6)
2006-07,NBA,Philadelphia 76ers,35,47,0.427,3,-3.26,90.7,-1.2,103.6,-2.9,106.9,0.4,,M. Cheeks (35-47),A. Iguodala (7.7)
2005-06,NBA,Philadelphia 76ers,38,44,0.463,2,-2.1,92.7,2.2,106,-0.2,108.1,1.9,,M. Cheeks (38-44),A. Iverson (10.6)
2004-05,NBA,Philadelphia 76ers*,43,39,0.524,2,-1.07,94.9,4,103.5,-2.6,104.3,-1.8,Lost E. Conf. 1st Rnd.,J. O'Brien (43-39),A. Iverson (9.0)
2003-04,NBA,Philadelphia 76ers,33,49,0.402,5,-2.95,88,-2.1,99.1,-3.8,101.9,-1,,R. Ayers (21-31) C. Ford (12-18),S. Dalembert (6.9)
2002-03,NBA,Philadelphia 76ers*,48,34,0.585,2,1.76,91.4,0.4,105,1.4,102.5,-1.1,Lost E. Conf. Semis,L. Brown (48-34),A. Iverson (9.2)
2001-02,NBA,Philadelphia 76ers*,43,39,0.524,4,1.27,88.9,-1.8,102.1,-2.4,100.3,-4.2,Lost E. Conf. 1st Rnd.,L. Brown (43-39),D. Mutombo (9.6)
2000-01,NBA,Philadelphia 76ers*,56,26,0.683,1,3.64,90.6,-0.7,103.6,0.6,98.9,-4.1,Lost Finals,L. Brown (56-26),A. Iverson (11.8)
2016-17,NBA,Phoenix Suns,24,58,0.293,5,-5.14,100.3,3.9,106.6,-2.2,112.2,3.4,,E. Watson (24-58),E. Bledsoe (5.3)
2015-16,NBA,Phoenix Suns,23,59,0.28,4,-6.32,98.5,2.7,102.2,-4.2,109,2.6,,J. Hornacek (14-35) E. Watson (9-24),M. Teletovic (3.8)
2014-15,NBA,Phoenix Suns,39,43,0.476,3,-0.38,96.3,2.4,105.3,-0.3,106.2,0.6,,J. Hornacek (39-43),E. Bledsoe (7.0)
2013-14,NBA,Phoenix Suns,48,34,0.585,3,3.02,95.8,1.9,109.5,2.8,106.7,0,,J. Hornacek (48-34),G. Dragic (10.3)
2012-13,NBA,Phoenix Suns,25,57,0.305,5,-5.75,93.4,1.4,101.2,-4.7,108.1,2.2,,A. Gentry (13-28) L. Hunter (12-29),G. Dragic (5.7)
2011-12,NBA,Phoenix Suns,33,33,0.5,3,0.29,92.6,1.3,106.2,1.6,106.5,1.9,,A. Gentry (33-33),M. Gortat (7.6)
2010-11,NBA,Phoenix Suns,40,42,0.488,2,-0.46,94.4,2.3,109.5,2.2,110.4,3.1,,A. Gentry (40-42),S. Nash (7.9)
2009-10,NBA,Phoenix Suns*,54,28,0.659,2,4.67,95.3,2.6,115.3,7.7,110.2,2.6,Lost W. Conf. Finals,A. Gentry (54-28),A. Stoudemire (10.7)
2008-09,NBA,Phoenix Suns,46,36,0.561,2,1.62,96,4.3,113.6,5.3,111.6,3.3,,T. Porter (28-23) A. Gentry (18-13),S. O'Neal (7.8)
2007-08,NBA,Phoenix Suns*,55,27,0.671,2,5.14,96.7,4.3,113.3,5.8,108.1,0.6,Lost W. Conf. 1st Rnd.,M. D'Antoni (55-27),A. Stoudemire (14.6)
2006-07,NBA,Phoenix Suns*,61,21,0.744,1,7.28,95.6,3.7,113.9,7.4,106.4,-0.1,Lost W. Conf. Semis,M. D'Antoni (61-21),S. Nash (12.6)
2005-06,NBA,Phoenix Suns*,54,28,0.659,1,5.48,95.8,5.3,111.5,5.3,105.8,-0.4,Lost W. Conf. Finals,M. D'Antoni (54-28),S. Marion (14.6)
2004-05,NBA,Phoenix Suns*,62,20,0.756,1,7.08,95.9,5,114.5,8.4,107.1,1,Lost W. Conf. Finals,M. D'Antoni (62-20),A. Stoudemire (14.6)
2003-04,NBA,Phoenix Suns,29,53,0.354,6,-2.94,92.6,2.5,101.4,-1.5,105.5,2.6,,F. Johnson (8-13) M. D'Antoni (21-40),S. Marion (9.1)
2002-03,NBA,Phoenix Suns*,44,38,0.537,4,1.57,91.5,0.5,103.7,0.1,102.5,-1.1,Lost W. Conf. 1st Rnd.,F. Johnson (44-38),S. Marion (13.0)
2001-02,NBA,Phoenix Suns,36,46,0.439,6,-0.3,91.4,0.7,103.3,-1.2,104,-0.5,,S. Skiles (25-26) F. Johnson (11-20),S. Marion (9.8)
2000-01,NBA,Phoenix Suns*,51,31,0.622,3,2.63,93.1,1.8,100.3,-2.7,98,-5,Lost W. Conf. 1st Rnd.,S. Skiles (51-31),S. Marion (11.7)
2016-17,NBA,Portland Trail Blazers*,41,41,0.5,3,-0.23,96.7,0.3,110.3,1.5,110.8,2,Lost W. Conf. 1st Rnd.,T. Stotts (41-41),D. Lillard (10.4)
2015-16,NBA,Portland Trail Blazers*,44,38,0.537,2,0.98,96,0.2,108.8,2.4,108,1.6,Lost W. Conf. Semis,T. Stotts (44-38),D. Lillard (9.2)
2014-15,NBA,Portland Trail Blazers*,51,31,0.622,1,4.41,94.2,0.3,108.2,2.6,103.7,-1.9,Lost W. Conf. 1st Rnd.,T. Stotts (51-31),D. Lillard (10.6)
2013-14,NBA,Portland Trail Blazers*,54,28,0.659,2,4.44,94.9,1,111.5,4.8,107.4,0.7,Lost W. Conf. Semis,T. Stotts (54-28),D. Lillard (9.6)
2012-13,NBA,Portland Trail Blazers,33,49,0.402,4,-2.53,91.4,-0.6,105.8,-0.1,109.2,3.3,,T. Stotts (33-49),L. Aldridge (7.2)
2011-12,NBA,Portland Trail Blazers,28,38,0.424,4,-0.22,91.2,-0.1,105.7,1.1,106.4,1.8,,N. McMillan (20-23) K. Canales (8-15),L. Aldridge (7.0)
2010-11,NBA,Portland Trail Blazers*,48,34,0.585,3,1.85,87.9,-4.2,108.8,1.5,107.1,-0.2,Lost W. Conf. 1st Rnd.,N. McMillan (48-34),L. Aldridge (11.1)
2009-10,NBA,Portland Trail Blazers*,50,32,0.61,3,3.18,87.7,-5,110.8,3.2,107.1,-0.5,Lost W. Conf. 1st Rnd.,N. McMillan (50-32),B. Roy (9.1)
2008-09,NBA,Portland Trail Blazers*,54,28,0.659,2,5,86.6,-5.1,113.9,5.6,107.8,-0.5,Lost W. Conf. 1st Rnd.,N. McMillan (54-28),B. Roy (13.5)
2007-08,NBA,Portland Trail Blazers,41,41,0.5,3,-0.52,87.9,-4.5,107.3,-0.2,108.4,0.9,,N. McMillan (41-41),B. Roy (8.0)
2006-07,NBA,Portland Trail Blazers,32,50,0.39,3,-3.78,88.3,-3.6,105.1,-1.4,109.9,3.4,,N. McMillan (32-50),Z. Randolph (5.7)
2005-06,NBA,Portland Trail Blazers,21,61,0.256,5,-8.91,87.6,-2.9,101.1,-5.1,111.9,5.7,,N. McMillan (21-61),S. Blake (2.8)
2004-05,NBA,Portland Trail Blazers,27,55,0.329,4,-3.45,89.8,-1.1,103.2,-2.9,107.7,1.6,,M. Cheeks (22-33) K. Pritchard (5-22),D. Stoudamire (5.7)
2003-04,NBA,Portland Trail Blazers,41,41,0.5,3,-0.58,86.2,-3.9,103.7,0.8,105.1,2.2,,M. Cheeks (41-41),Z. Randolph (7.1)
2002-03,NBA,Portland Trail Blazers*,50,32,0.61,3,2.97,89.4,-1.6,105.5,1.9,102.6,-1,Lost W. Conf. 1st Rnd.,M. Cheeks (50-32),R. Wallace (8.5)
2001-02,NBA,Portland Trail Blazers*,49,33,0.598,3,3.21,89.3,-1.4,107.4,2.9,104,-0.5,Lost W. Conf. 1st Rnd.,M. Cheeks (49-33),R. Wallace (9.7)
2000-01,NBA,Portland Trail Blazers*,50,32,0.61,4,4.52,89.1,-2.2,106.5,3.5,101.8,-1.2,Lost W. Conf. 1st Rnd.,M. Dunleavy (50-32),R. Wallace (11.0)
2016-17,NBA,Sacramento Kings,32,50,0.39,3,-3.29,94.9,-1.5,107.3,-1.5,111.3,2.5,,D. Joerger (32-50),D. Cousins (6.0)
2015-16,NBA,Sacramento Kings,33,49,0.402,3,-2.32,100,4.2,106,-0.4,108.4,2,,G. Karl (33-49),D. Cousins (5.7)
2014-15,NBA,Sacramento Kings,29,53,0.354,4,-3.07,95.4,1.5,105.3,-0.3,109.2,3.6,,M. Malone (11-13) T. Corbin (7-21) G. Karl (11-19),R. Gay (6.1)
2013-14,NBA,Sacramento Kings,28,54,0.341,4,-2.08,94.4,0.5,105.7,-1,108.8,2.1,,M. Malone (28-54),D. Cousins (7.9)
2012-13,NBA,Sacramento Kings,28,54,0.341,4,-4.26,93.6,1.6,106.2,0.3,111.4,5.5,,K. Smart (28-54),I. Thomas (5.0)
2011-12,NBA,Sacramento Kings,22,44,0.333,5,-4.95,94.7,3.4,103.8,-0.8,109.8,5.2,,P. Westphal (2-5) K. Smart (20-39),I. Thomas (4.3)
2010-11,NBA,Sacramento Kings,24,58,0.293,5,-4.8,95.2,3.1,103.5,-3.8,109,1.7,,P. Westphal (24-58),B. Udrih (7.2)
2009-10,NBA,Sacramento Kings,25,57,0.305,5,-4.06,94,1.3,105.3,-2.3,109.9,2.3,,P. Westphal (25-57),B. Udrih (5.5)
2008-09,NBA,Sacramento Kings,17,65,0.207,5,-8.6,94.2,2.5,105.5,-2.8,114.7,6.4,,R. Theus (6-18) K. Natt (11-47),K. Martin (4.7)
2007-08,NBA,Sacramento Kings,38,44,0.463,4,-1.86,94.7,2.3,107.5,0,109.9,2.4,,R. Theus (38-44),K. Martin (8.4)
2006-07,NBA,Sacramento Kings,33,49,0.402,5,-1.35,94.8,2.9,106.2,-0.3,108,1.5,,E. Musselman (33-49),K. Martin (10.2)
2005-06,NBA,Sacramento Kings*,44,38,0.537,4,1.61,91.9,1.4,106.7,0.5,105,-1.2,Lost W. Conf. 1st Rnd.,R. Adelman (44-38),B. Miller (9.1)
2004-05,NBA,Sacramento Kings*,50,32,0.61,2,2.56,93,2.1,110.5,4.4,108.2,2.1,Lost W. Conf. 1st Rnd.,R. Adelman (50-32),B. Miller (8.6)
2003-04,NBA,Sacramento Kings*,55,27,0.671,2,5.41,92.8,2.7,110.3,7.4,104.9,2,Lost W. Conf. Semis,R. Adelman (55-27),P. Stojakovic (13.5)
2002-03,NBA,Sacramento Kings*,59,23,0.72,1,6.68,95.4,4.4,105.9,2.3,99.1,-4.5,Lost W. Conf. Semis,R. Adelman (59-23),P. Stojakovic (10.1)
2001-02,NBA,Sacramento Kings*,61,21,0.744,1,7.61,95.6,4.9,109,4.5,101.1,-3.4,Lost W. Conf. Finals,R. Adelman (61-21),P. Stojakovic (9.9)
2000-01,NBA,Sacramento Kings*,55,27,0.671,2,6.07,94.4,3.1,105.6,2.6,99.6,-3.4,Lost W. Conf. Semis,R. Adelman (55-27),C. Webber (11.0)
2016-17,NBA,San Antonio Spurs*,61,21,0.744,1,7.13,94.2,-2.2,111.1,2.3,103.5,-5.3,Lost W. Conf. Finals,G. Popovich (61-21),K. Leonard (13.6)
2015-16,NBA,San Antonio Spurs*,67,15,0.817,1,10.28,93.8,-2,110.3,3.9,99,-7.4,Lost W. Conf. Semis,G. Popovich (67-15),K. Leonard (13.7)
2014-15,NBA,San Antonio Spurs*,55,27,0.671,2,6.34,93.8,-0.1,108.5,2.9,102,-3.6,Lost W. Conf. 1st Rnd.,G. Popovich (55-27),T. Duncan (9.6)
2013-14,NBA,San Antonio Spurs*,62,20,0.756,1,8,95,1.1,110.5,3.8,102.4,-4.3,Won Finals,G. Popovich (62-20),K. Leonard (7.7)
2012-13,NBA,San Antonio Spurs*,58,24,0.707,1,6.67,94.2,2.2,108.3,2.4,101.6,-4.3,Lost Finals,G. Popovich (58-24),T. Parker (9.3)
2011-12,NBA,San Antonio Spurs*,50,16,0.758,1,7.28,92.9,1.6,110.9,6.3,103.2,-1.4,Lost W. Conf. Finals,G. Popovich (50-16),T. Parker (7.1)
2010-11,NBA,San Antonio Spurs*,61,21,0.744,1,5.86,92.3,0.2,111.8,4.5,105.6,-1.7,Lost W. Conf. 1st Rnd.,G. Popovich (61-21),M. Ginobili (9.9)
2009-10,NBA,San Antonio Spurs*,50,32,0.61,2,5.07,91.7,-1,110,2.4,104.5,-3.1,Lost W. Conf. Semis,G. Popovich (50-32),T. Duncan (10.9)
