state,dist,year,inc,dem_money_pct,dem_group_pct,dem_indiv_pct,dem_vote_pct
"AK",9,2000,0,50.33815,66.70236,38.40624,44.54126
"AK",9,2002,1,50.63077,66.05718,36.48351,47.77624
"AK",9,2004,1,47.9951,40.45387,46.8662,49.61055
"AK",9,2006,1,58.4268,62.20778,52.47226,55.26927
"AK",9,2008,0,61.18069,72.27651,55.106,52.29503
"AK",9,2010,1,56.96624,59.84485,56.92708,53.95609
"AK",10,1992,0,43.55196,59.02384,51.94205,36.70819
"AK",10,1994,1,0,0,.0141708,0
"AK",10,1996,1,23.7835,7.158748,40.49009,24.09186
"AK",10,1998,1,0,0,.3984064,0
"AK",10,2004,0,0,0,.0014597,29.56915
"AK",10,2006,1,0,0,.0036974,0
"AK",10,2008,0,56.99019,53.82109,51.00158,47.40273
"AK",10,2010,0,45.45696,47.93817,30.51462,36.92908
"AK",11,1992,0,51.37549,65.49178,39.80189,50.18614
"AK",11,1994,1,50.08705,56.98629,47.46105,46.02396
"AK",11,1996,0,3.301451,1.720028,4.055315,25.39197
"AK",11,1998,0,42.68171,32.10812,39.29673,36.26157
"AK",11,2000,0,5.49754,4.945904,5.340682,26.70455
"AK",11,2004,1,0,0,.0082196,0
"AK",11,2006,1,35.08721,21.65519,35.94696,29.97275
"AK",11,2008,0,15.77323,18.67517,9.116058,18.59111
"AK",11,2010,0,52.75122,48.57685,37.02006,22.69886
"AK",12,1994,1,0,0,.019044,0
"AK",12,1996,0,17.0565,6.526074,7.007376,30.27823
"AK",12,1998,0,37.26401,17.53866,15.81209,35.78699
"AK",12,2000,1,0,0,.007657,0
"AK",12,2004,1,0,0,.0023526,0
"AK",12,2006,1,12.7746,13.27894,4.129583,28.36448
"AK",12,2008,1,19.35376,5.692916,29.49143,27.52809
"AK",12,2010,0,60.60544,63.83659,59.88807,37.04514
"AK",13,1992,0,46.64835,47.73957,42.77962,49.13842
"AK",13,1994,0,31.80531,44.12436,34.49657,47.24087
"AK",13,1996,0,100,100,100,50.20785
"AK",13,1998,1,77.81296,86.28969,59.36278,58.62293
"AK",13,2000,1,94.47099,95.97046,93.73138,63.70791
"AK",13,2004,0,48.47278,27.06341,57.89699,32.45398
"AK",13,2006,1,11.03166,.2061856,13.80954,26.59261
"AK",13,2008,0,74.6462,63.50563,68.78759,29.62712
"AK",13,2010,1,0,0,.0051083,0
"AK",14,1992,1,38.93484,34.19419,36.17555,40.97964
"AK",14,1994,0,64.51756,53.31753,79.34541,37.41249
"AK",14,1996,1,45.14083,19.43498,56.19711,30.87579
"AK",14,1998,0,0,0,.0042684,0
"AK",14,2000,1,0,0,.0067746,0
"AK",14,2004,0,27.73356,22.89615,23.63658,37.88573
"AK",14,2006,0,30.51316,23.07137,33.09597,38.79861
"AK",14,2008,0,5.371241,5.237633,6.162479,21.93011
"AK",14,2010,1,0,0,.0079493,0
"AK",15,1994,1,90.20156,95.37775,90.4202,63.45141
"AK",15,1996,0,100,100,100,58.36058
"AK",15,1998,1,89.09738,96.55014,87.76478,69.63979
"AK",15,2000,1,76.29894,97.10187,83.52167,64.49187
"AK",15,2002,0,47.63203,35.84148,54.25246,33.65146
"AK",15,2008,0,34.26894,31.61562,20.85114,23.25068
"AK",15,2010,1,0,0,.0057156,0
"AK",16,1992,1,90.32658,98.41765,76.33114,64.14823
"AK",16,1994,1,87.92069,91.72809,89.82504,61.23423
"AK",16,1996,0,78.82996,96.27115,95.85052,59.0604
"AK",16,1998,1,64.61327,88.67902,60.66309,54.31717
"AK",16,2000,0,89.06853,96.98164,90.86038,61.53253
"AK",16,2004,0,30.21472,13.37974,37.55646,28.3189
"AK",16,2006,0,17.67762,12.55726,14.48685,28.57143
"AK",16,2008,0,19.02234,4.179492,12.30884,24.53276
"AK",16,2010,0,2.367126,.221058,1.051912,21.59324
"AK",17,1990,0,40.82283,20.54598,69.30006,33.23896
"AK",17,1992,0,44.12074,38.9341,19.88408,41.90205
"AK",17,1994,0,18.70464,10.35722,12.99213,29.62176
"AK",17,1996,0,47.39669,43.58435,24.60557,39.17545
"AK",17,1998,1,0,0,.0067128,0
"AK",17,2006,0,19.65313,6.169587,22.16719,28.73581
"AK",17,2008,1,0,0,.0029074,19.63197
"AK",17,2010,1,0,0,.0031976,0
"AK",18,1990,1,0,0,.1426534,0
"AK",18,1992,1,51.63338,62.09005,53.00579,41.6815
"AK",18,1994,1,26.15543,16.24444,40.183,34.89019
"AK",18,1996,1,0,0,.0129844,0
"AK",18,1998,0,48.52565,34.04342,19.20336,37.60546
"AK",18,2004,0,0,0,.0038598,0
"AK",18,2006,1,0,0,.00273,0
"AK",18,2008,1,0,0,.0165262,0
"AK",18,2010,0,50.07798,45.61601,39.04484,26.66918
"AK",19,1990,0,65.07966,66.83336,71.92564,54.97486
"AK",19,1992,0,44.43565,33.76624,40.10095,46.88433
"AK",19,1994,0,6.522738,0,7.589948,47.33032
"AK",19,1996,0,0,0,.0016736,47.36646
"AK",19,1998,0,56.74594,45.87114,43.10161,48.66568
"AK",19,2000,0,23.35016,15.67882,15.42656,35.0267
"AK",19,2002,0,41.32349,34.91357,43.38406,38.11241
"AK",19,2004,1,34.50786,25.73628,43.20702,44.05063
"AK",19,2006,0,16.69891,11.48718,10.57482,44.3681
"AK",19,2008,0,45.51077,31.75955,49.96841,51.80298
"AK",19,2010,0,40.94254,46.60045,31.09487,52.48986
"AK",20,1992,1,51.63192,51.98278,61.88734,45.72406
"AK",20,1994,0,51.87262,34.66494,72.13363,42.82412
"AK",20,1996,0,28.57632,16.04753,41.9184,34.7445
"AK",20,1998,1,0,0,.0181785,0
"AK",20,2000,0,10.73464,9.857073,8.406304,36.0553
"AK",20,2002,0,85.71364,87.13785,88.03437,50.55856
"AK",20,2004,1,43.57335,83.67939,39.08959,52.39954
"AK",20,2006,1,47.66587,51.87132,38.4068,59.71247
"AK",21,1990,0,71.95031,72.50286,78.48637,60.16431
"AK",21,1992,0,92.11619,97.30065,80.97118,61.47085
"AK",21,1994,1,79.27435,90.84112,56.3011,57.17756
"AK",21,1996,0,0,0,.0079096,49.86382
"AK",21,1998,0,58.53238,55.78006,47.31212,52.98122
"AK",21,2000,1,57.88742,52.84082,48.34346,53.79287
"AK",21,2002,1,56.42537,60.52795,49.16581,52.10762
"AK",21,2004,1,63.00968,71.3174,51.14104,50.71663
"AK",21,2006,1,54.95942,60.821,45.57998,55.51362
"AK",21,2008,0,67.30948,85.66811,61.61533,58.99518
"AK",21,2010,0,70.03527,68.04156,70.46916,44.13123
"AK",22,1990,1,100,100,100,100
"AK",22,1992,1,3.934114,1.144955,2.289115,32.68959
"AK",22,1994,1,3.400738,.2318542,4.084275,42.84071
"AK",22,1996,1,0,0,.0015606,40.53611
"AK",22,1998,1,43.95313,31.16002,36.44256,49.44616
"AK",22,2000,1,40.6458,33.54926,33.3241,54.96851
"AK",22,2002,1,41.09303,50.18623,29.78712,54.31377
"AK",22,2004,1,46.37734,56.18604,47.9826,57.42263
"AK",22,2006,1,100,100,100,100
"AK",22,2008,1,56.79578,71.96582,41.85778,60.82474
"AK",22,2010,1,100,100,100,100
"AK",23,1990,1,100,100,100,100
"AK",23,1992,0,7.264949,1.586337,7.912107,36.5241
"AK",23,1994,1,0,0,.0050171,0
"AK",23,1996,0,24.73344,6.948565,14.89426,42.82964
"AK",23,1998,0,43.28586,17.49759,28.20596,39.13872
"AK",23,2000,0,30.02605,21.82456,21.16916,39.17347
"AK",23,2004,1,76.94134,87.79039,80.61819,69.64106
"AK",23,2006,1,100,100,100,100
"AK",23,2008,1,100,100,100,100
"AK",23,2010,1,100,100,100,100
"AK",24,1990,0,42.5773,46.25658,27.01081,42.27964
"AK",24,1992,0,50.51864,62.3507,50.80014,40.88249
"AK",24,1994,1,17.41284,9.740193,35.0975,25.03997
"AK",24,1998,1,0,0,.0294031,0
"AK",24,2002,0,37.7733,34.35746,28.73642,45.61862
"AK",24,2004,0,64.72415,54.64275,69.25989,52.21618
"AK",24,2006,1,55.22673,58.03189,49.08297,60.03691
"AK",24,2008,1,74.7533,92.19292,72.66261,60.92796
"AK",24,2010,1,100,100,100,100
"AK",25,1990,0,99.99999,100,100,100
"AK",25,1996,0,35.5098,23.67588,49.52573,40.63213
"AK",25,1998,1,0,0,.0289771,0
"AK",25,2002,1,68.50047,82.08067,73.69259,56.65322
"AK",25,2004,1,100,100,100,100
"AK",25,2006,0,100,100,100,70.50758
"AK",25,2008,1,97.53986,99.71404,96.82616,70.52651
"AK",25,2010,1,100,100,100,67.58735
"AK",26,1990,1,87.74913,100,61.94289,69.89838
"AK",26,1992,1,41.8603,75.31839,22.77608,55.4015
"AK",26,1994,1,70.7169,81.49492,72.36021,43.20594
"AK",26,1996,1,34.72961,16.55361,18.68534,27.50798
"AK",26,2000,1,0,0,.0107848,0
"AK",26,2002,1,85.56035,94.69423,93.47594,57.13159
"AK",26,2004,1,79.62997,94.27447,87.46897,62.11901
"AK",26,2006,0,80.04427,85.75301,83.78379,61.56002
"AK",26,2008,1,100,100,100,100
"AK",27,1990,0,71.66752,77.83865,84.76084,56.2296
"AK",27,1992,0,93.36607,97.83784,87.86189,59.12932
"AK",27,1994,1,0,0,.1945525,48.87953
"AK",27,1996,0,0,0,.007725,40.17721
"AK",27,1998,0,44.41631,41.38158,30.78345,40.58727
"AK",27,2000,0,49.476,53.73902,42.72882,28.46793
"AK",27,2004,0,21.14967,17.01681,10.35662,41.2016
"AK",27,2006,0,37.92469,71.41071,20.82945,56.72931
"AK",27,2008,1,74.68439,80.50228,72.33854,50.79324
"AK",27,2010,1,48.2089,55.26683,39.30463,43.73573
"AK",28,1992,0,76.46243,87.65918,51.61319,57.81219
"AK",28,1996,1,47.09431,26.32648,60.94754,25.19409
"AK",28,2002,1,13.24485,10.61221,6.987034,22.13592
"AK",28,2004,0,5.09867,.6940819,6.689798,30.81135
"AK",28,2006,0,56.72784,55.11285,54.80456,48.48395
"AK",28,2008,0,64.83167,58.24565,69.44206,44.37896
"AK",28,2010,0,38.96625,22.48575,31.70811,34.81229
"AK",29,1992,0,53.92842,75.91595,33.72907,60.63457
"AK",29,1994,1,62.5742,66.9146,50.76339,59.86788
"AK",29,1996,1,49.78227,72.42407,32.16633,53.67045
"AK",29,1998,1,55.04946,71.37345,51.31193,58.41856
"AK",29,2000,1,57.70305,66.85171,52.78301,64.40194
"AK",29,2004,1,42.75166,37.54503,34.96466,39.05902
"AK",29,2006,1,31.65911,23.67206,26.57067,44.02087
"AK",29,2008,0,55.21858,75.38148,71.96693,51.68011
"AK",29,2010,1,59.26329,72.71226,51.38834,55.28162
"AK",30,1992,0,67.51046,88.66367,45.00007,55.18595
"AK",30,1994,1,60.78719,77.7599,46.74445,54.38362
"AK",30,1996,0,100,100,100,51.37027
"AK",30,1998,1,50.75193,59.03028,36.1041,52.24138
"AK",30,2000,0,100,100,100,100
"AK",30,2004,0,0,0,.0015163,28.89269
"AK",30,2006,1,0,0,.00156,0
"AK",30,2008,0,60.92678,61.3409,55.82341,43.55969
"AK",30,2010,1,33.85809,32.33229,37.50566,41.09862
"AK",31,1992,0,55.6155,59.00832,62.84641,51.13341
"AK",31,1994,0,57.64285,71.18697,54.70607,43.86442
"AK",31,1996,0,13.45577,5.769231,30.80518,33.23782
"AK",31,1998,0,60.57274,68.70877,62.53193,43.73481
"AK",31,2000,0,0,0,.0053895,29.28988
"AK",31,2004,1,36.47844,7.26124,51.08034,33.5836
"AK",31,2006,1,0,0,.0052021,0
"AK",31,2008,0,0,0,.0140803,26.50216
"AK",31,2010,1,56.26366,42.76622,81.97219,32.07089
"AK",32,1992,0,31.04782,47.96906,12.68633,40.96815
"AK",32,1994,0,49.27163,31.43892,64.4737,43.52554
"AK",32,1996,0,46.5235,22.46448,40.17943,47.70225
"AK",32,1998,0,64.39413,58.06254,49.49614,41.37249
"AK",32,2000,1,46.3511,35.74872,31.43919,31.54281
"AK",32,2004,1,50.14252,25.76386,50.07187,40.47178
"AK",32,2006,0,31.456,16.6144,32.67761,45.46404
"AK",32,2008,1,29.48656,14.71655,27.36169,36.1531
"AK",32,2010,1,0,0,.0017034,29.33549
"AK",33,1992,0,36.37051,49.08089,25.2888,40.85305
"AK",33,1996,0,55.25206,49.37606,86.45025,25.68657
"AK",33,1998,1,1.27421,0,0,21.87864
"AK",33,2000,0,55.99258,48.82458,56.61448,31.59545
"AK",33,2002,0,74.60487,67.36968,53.98243,47.29217
"AK",33,2004,0,37.02105,32.30987,37.50416,41.82499
"AK",33,2006,1,36.83361,27.49457,34.96815,39.22268
"AK",33,2008,1,28.33864,13.98117,29.3856,23.01945
"AK",33,2010,1,26.82783,12.72936,42.80722,23.38957
"AK",34,1992,0,63.92392,60.5607,79.58724,35.58233
"AK",34,1994,1,33.14118,29.02933,42.53537,27.62681
"AK",34,1996,1,0,0,.0248201,21.5311
"AK",34,1998,1,42.79393,.4198489,70.89891,22.22222
"AK",34,2000,1,0,0,.0526039,0
"AK",34,2006,1,0,0,.0027581,0
"AK",34,2008,1,33.93658,24.04359,25.63305,27.30159
"AK",35,1994,0,56.83496,54.57821,44.9226,54.22269
"AK",35,1996,1,100,100,100,56.64009
"AK",35,1998,0,50.57824,46.28272,46.97864,49.90788
"AK",35,2000,1,24.58118,13.77713,30.10303,31.477
"AK",35,2004,0,19.42008,21.21877,20.02175,39.15447
"AK",35,2006,1,0,0,.0034205,31.19125
"AK",35,2008,0,43.61788,28.4911,27.77227,33.12292
"AK",35,2010,1,0,0,.0172533,0
"AK",36,1992,0,58.24181,73.71353,36.75681,57.80201
"AK",36,1996,0,100,100,100,52.11726
"AK",36,2000,1,35.72553,30.70169,24.46123,49.46767
"AK",36,2004,0,0,0,.0020157,0
"AK",36,2008,0,53.37428,51.97705,54.86587,46.36364
"AK",36,2010,1,0,0,.013113,31.51637
"AK",37,1992,1,100,100,100,100
"AK",37,1996,0,100,100,100,100
"AK",37,1998,1,100,100,100,100
"AK",37,2000,1,100,100,100,100
"AK",37,2004,1,100,100,100,63.46016
"AK",37,2006,0,84.05479,97.25275,87.36664,71.20732
"AK",37,2008,0,85.81487,95.14784,72.59248,62.34222
"AK",37,2010,1,100,100,100,100
"AK",38,1992,1,100,100,100,100
"AK",38,1994,1,100,100,100,100
"AK",38,1996,1,100,100,100,100
"AK",38,1998,1,100,100,100,100
"AK",38,2000,1,100,100,100,100
"AK",38,2004,1,100,100,100,100
"AK",38,2006,1,100,100,100,100
"AK",38,2008,0,100,100,100,100
"AK",38,2010,1,100,100,100,100
"AK",39,1992,0,100,100,100,100
"AK",39,1994,0,86.36066,91.75411,62.86484,76.19629
"AK",39,2000,0,100,100,100,100
"AK",39,2006,1,100,100,100,100
"AK",39,2008,1,100,100,100,100
"AK",39,2010,0,100,100,100,100
"AK",40,1994,1,100,100,100,100
"AK",40,1996,1,100,100,100,100
"AK",40,1998,1,100,100,100,100
"AK",40,2000,1,100,100,100,100
"AK",40,2004,1,100,100,100,100
"AK",40,2006,1,100,100,100,100
"AK",40,2008,1,100,100,100,100
"AK",40,2010,1,100,100,100,100
"AL",1,1998,0,45.38523,79.69103,11.17821,60.16693
"AL",1,1998,1,92.16859,99.30025,79.14365,71.05978
"AL",1,2002,0,89.73038,100,72.87637,64.15264
"AL",1,2002,1,87.26906,92.52281,77.22458,63.69778
"AL",1,2006,0,76.83482,95.27824,76.65232,65.08784
"AL",1,2006,0,83.03214,94.65584,84.14758,63.81408
"AL",1,2010,0,40.06701,45.24156,62.60954,50.73782
"AL",1,2010,0,88.86974,99.30713,69.67903,55.92607
"AL",2,1998,1,100,100,100,66.27766
"AL",2,1998,1,59.12873,84.67545,28.39571,60.04625
"AL",2,2002,0,100,100,100,57.76865
"AL",2,2002,0,37.79626,48.25112,22.66383,47.08498
"AL",2,2006,0,97.18708,99.40396,86.92982,60.43264
"AL",2,2006,0,93.3313,100,94.1032,65.18318
"AL",2,2010,1,37.70739,50.3082,26.14563,45.26399
"AL",2,2010,1,62.525,90.81326,65.9297,41.09784
"AL",3,1998,1,100,100,100,72.12772
"AL",3,1998,0,100,100,100,73.67004
"AL",3,2002,1,96.92164,99.70541,78.31431,62.6283
"AL",3,2002,0,89.7532,98.53455,44.82759,67.32041
"AL",3,2006,0,43.43983,55.00165,12.33331,37.597
"AL",4,1998,1,43.65029,19.27714,94.84733,53.94067
"AL",4,1998,0,52.27817,22.14229,70.35921,57.5479
"AL",4,2002,0,57.67838,65.22739,54.46878,47.82317
"AL",4,2002,0,82.9976,90.25774,60.34997,63.12051
"AL",4,2006,1,8.848417,2.690293,22.14213,42.51331
"AL",4,2006,1,86.23832,99.10122,66.77146,59.91495
"AL",4,2010,0,71.98588,79.93282,49.50325,42.2352
"AL",4,2010,0,31.19076,12.84934,20.85991,30.14313
"AL",5,1998,0,35.4864,15.97824,74.02727,45.33181
"AL",5,1998,0,80.31762,95.94617,27.20591,60.68708
"AL",5,2002,1,81.62805,97.64983,68.21192,56.55611
"AL",5,2002,0,37.31001,25.02233,64.28464,42.00294
"AL",5,2006,0,45.95324,26.90173,82.72767,44.18567
"AL",5,2006,0,58.0847,64.07104,80.92163,57.26434
"AL",5,2010,0,11.36222,11.1875,14.07178,26.71669
"AL",5,2010,1,36.00528,50.45454,21.44573,38.01816
"AL",6,1998,1,95.026,97.69137,95.59248,67.45783
"AL",6,1998,1,31.28219,17.2009,26.64155,50.61737
"AL",6,2002,1,96.82867,99.55312,88.32894,60.70145
"AL",6,2002,0,69.51461,74.74473,43.71585,57.69364
"AL",6,2006,1,99.99999,100,100,64.52248
"AL",6,2006,1,100,100,100,100
"AL",6,2010,1,95.58904,100,91.18233,53.41182
"AL",7,1998,0,100,100,100,100
"AL",7,1998,0,9.561625,1.397464,8.828761,49.26315
"AL",7,2002,1,86.87518,99.76524,68.31284,73.12673
"AL",7,2002,1,90.85903,98.39851,82.51502,66.42139
"AL",7,2006,1,100,100,100,67.92846
"AL",7,2006,0,75.76107,98.65442,68.61992,65.51283
"AL",7,2010,0,56.62635,56.93011,82.06264,45.10964
"AL",7,2010,0,59.92215,98.88042,4.695253,49.33961
"AL",8,1998,1,76.61932,95.58768,53.04348,72.06419
"AL",8,1998,1,99.70969,100,97.22943,62.05676
"AL",8,2002,1,82.4266,89.38548,64.41718,73.98324
"AL",8,2002,1,96.1774,98.75092,89.19913,58.30793
"AL",8,2006,1,79.01886,88.01977,69.59993,56.58844
"AL",8,2010,1,88.44425,99.77062,83.95575,49.27743
"AL",8,2010,0,38.97747,17.58,19.31239,43.91264
"AL",9,1998,0,86.06232,97.75031,58.75699,64.82426
"AL",9,1998,0,46.17393,54.01234,53.40389,51.26815
"AL",9,2002,0,92.8037,99.91563,29.54723,59.14467
"AL",9,2002,0,69.13154,74.56475,44.92255,56.35511
"AL",9,2006,1,67.61919,91.75671,74.68864,55.50801
"AL",9,2006,0,66.40759,97.08368,51.24333,53.4758
"AL",9,2010,0,37.3604,24.89332,13.067,27.35206
"AL",9,2010,0,25.72561,34.91481,10.16945,31.12337
"AL",10,1998,1,21.90752,13.21108,32.64463,40.35802
"AL",10,1998,0,35.59258,16.62604,75.41609,60.29171
"AL",10,2002,1,100,100,100,67.91488
"AL",10,2002,0,12.96844,9.724035,2.063492,33.47153
"AL",10,2006,1,0,0,.0093231,0
"AL",10,2006,1,100,100,100,100
"AL",10,2010,1,77.63117,99.65736,59.5189,46.30052
"AL",11,1998,0,35.61693,41.06277,17.14122,46.28139
"AL",11,1998,1,37.52042,66.59603,33.06215,52.47829
"AL",11,2002,0,17.30696,11.21296,53.6965,42.83287
"AL",11,2002,0,100,100,100,67.10549
"AL",11,2006,0,49.46304,37.09494,40.25818,45.93143
"AL",11,2006,0,100,100,100,64.38705
"AL",11,2010,0,58.31819,60.57611,50.7901,53.4978
"AL",12,1998,0,93.17303,92.12598,87.59386,63.32658
"AL",12,1998,0,19.03921,23.79653,16.52623,49.04269
"AL",12,2002,0,86.69404,85.90476,88.36516,65.28201
"AL",12,2002,0,30.64982,1.384768,77.18023,40.62067
"AL",12,2006,0,91.11458,98.97301,80.18511,63.13415
"AL",12,2006,1,0,0,.0016188,0
"AL",12,2010,0,90.57262,98.74958,67.94872,45.83059
"AL",12,2010,1,14.4854,9.412503,22.70704,36.27993
"AL",13,1998,0,98.26141,100,89.61467,68.57423
"AL",13,1998,1,57.50357,78.08115,20.80856,55.5574
"AL",13,2002,0,56.06623,87.02308,29.26491,62.01583
"AL",13,2006,0,99.08359,100,100,69.50476
"AL",13,2006,0,76.44917,100,76.75385,50.56379
"AL",13,2010,0,25.4215,41.76368,7.973422,39.35944
"AL",13,2010,0,72.42781,73.99302,64.31096,49.52071
"AL",14,1998,1,77.60647,82.6102,85.43696,60.42677
"AL",14,1998,1,2.449566,1.928361,5.75498,25.22995
"AL",14,2002,0,87.97116,99.805,73.13222,64.45586
"AL",14,2006,1,100,100,100,100
"AL",14,2006,1,0,0,.0002971,0
"AL",14,2010,0,51.65204,86.0582,23.3244,30.64396
"AL",15,1998,0,0,0,.0039249,0
"AL",15,1998,1,0,0,.0184366,0
"AL",15,2006,1,0,0,.0032572,0
"AL",15,2006,0,0,0,.0016792,0
"AL",16,1998,0,65.72202,82.15372,59.38815,56.99101
"AL",16,1998,0,3.079147,0,23.47302,20.98425
"AL",16,2002,0,67.40691,98.51005,18.41492,55.19181
"AL",16,2006,1,100,100,100,100
"AL",16,2006,0,1.433459,0,12.17712,22.25531
"AL",16,2010,0,57.34035,92.13321,11.44399,46.12437
"AL",17,1998,1,0,0,.0341763,100
"AL",17,1998,0,98.03326,99.40903,96.7686,71.44967
"AL",17,2002,1,90.57063,95.09894,68.43697,51.4082
"AL",17,2006,0,96.11317,100,86.92716,64.0527
"AL",17,2006,0,0,0,.0026281,0
"AL",17,2010,1,10.95091,9.658341,0,18.79162
"AL",18,1998,0,70.16542,93.15639,26.63438,66.43945
"AL",18,1998,1,100,100,100,100
"AL",18,2006,1,99.99999,100,100,100
"AL",18,2006,0,100,100,100,80.73074
"AL",19,1998,1,100,100,100,100
"AL",19,1998,1,100,100,100,100
"AL",19,2002,1,92.85918,98.95995,61.26443,76.86939
"AL",19,2006,1,100,100,100,100
"AL",19,2006,1,100,100,100,100
"AL",20,1998,0,99.08986,100,97.72079,80.23058
"AL",20,1998,1,0,0,.0065894,32.22746
"AL",20,2002,0,47.47447,36.6263,73.8815,36.28627
"AL",20,2006,1,0,0,.0087138,0
"AL",20,2006,0,83.84683,86.12546,22.36969,79.64774
"AL",21,1998,0,50.46951,50.59313,53.28823,65.09788
"AL",21,1998,0,36.56379,46.4622,11.30507,50.07243
"AL",21,2002,0,78.39567,92.46305,58.80153,52.38271
"AL",21,2002,1,62.78924,97.98294,29.30039,60.17587
"AL",21,2006,1,78.27309,71.64863,93.16689,61.09432
"AL",21,2006,1,100,100,100,69.42798
